Master Catalog,Identifier,Parent Identifier,Name US,URL keyword,Page title,Meta description,Facet Management,STORE,Short Description,Published
FALSE,Excess-Flow-Valves,Bulk-Storage-Transport-Equipment,Excess Flow Valves,excess-flow-valves,Products - Excess Flow Valves|Emerson,Browse Excess Flow Valves products,Manufacturer|EMR Industry|EMR Segment|EMR Application|EMR Certifications|EMR Valve Size|EMR Media|EMR Valve Type|EMR Max Inlet Pressure|EMR Max Outlet Pressure|EMR Operating Temperature|EMR Standards,EMR,,TRUE
FALSE,Expansion-Valves-and-Controls,Commercial-Refrigeration-Controls,Commercial Expansion Valves and Controls,expansion--valves-and-controls,,,EMR Platform|Manufacturer|EMR Industry|EMR Application,CLIMATE,,TRUE
FALSE,Explosionproof-Outlet-Boxes,Enclosures-Junction-Boxes,Explosionproof Outlet Boxes,explosionproof-outlet-boxes,Products - Explosionproof Outlet Boxes|Emerson,Browse Explosionproof Outlet Boxes products,EMR Area Classification|EMR Certifications|EMR Product Type|EMR Material|EMR Finish|Manufacturer|EMR Industry,EMR,,TRUE
FALSE,Explosion-Proof-Valves,Solenoid-Valves,Explosion Proof Valves,explosion-proof-valves,Products - Explosion Proof Valves | Emerson,Browse Explosion Proof Valves ,Manufacturer|EMR Actuation|EMR Body Material|EMR Valve Function|EMR Media|EMR Pipe Port Size|EMR Flow Range Cv|EMR Max Operating Pressure Range|EMR Voltage|EMR Frequency|EMR Certifications|EMR Application|EMR Industry,EMR,,TRUE
FALSE,Extended-Warranty,Maintenance,Extended Warranty,extended-warranty,Maintenance Services - Extended Warranty | Emerson,Browse Extended Warranty Services for Maintenance  Lifecycle Services,Manufacturer,EMR,,TRUE
FALSE,Facility-Controls-and-Electronics,Controls-and-Monitoring-Systems,Facility and System Controls,facility-controls-and-electronics,,,EMR Platform|Manufacturer|EMR Industry|EMR Programmable Inputs|EMR Analog Outputs,CLIMATE,,TRUE
FALSE,Family-Categories,Automation-Solutions,Family Categories,family-categories,,,,EMR,,TRUE
TRUE,FAN-ACCESSORIES-BLADES,FAN-LIGHTING-ACCESSORIES,Blades,m-fan-accessories-blades,,,,FAN,Blades,TRUE
TRUE,FAN-ACCESSORIES-BUNDLES,FAN-LIGHTING-ACCESSORIES,Accessory Bundles,m-fan-accessories-bundles,,,,FAN,Accessory Bundles,TRUE
TRUE,FAN-ACCESSORIES-CONTROLS,FAN-LIGHTING-ACCESSORIES,Controls,m-fan-accessories-controls,,,,FAN,Controls,TRUE
TRUE,FAN-ACCESSORIES-LIGHTING,FAN-LIGHTING-ACCESSORIES,Fan Lighting,m-fan-accessories-lighting,,,,FAN,Fan Lighting,TRUE
FALSE,Fan-and-Limit-Controls,Heating-Controls,Fan and Limit Controls,fan-and-limit-controls,,,EMR Platform|Manufacturer|EMR Industry|EMR Universal,CLIMATE,,TRUE
TRUE,FAN-DOWNRODS,FAN-LIGHTING-ACCESSORIES,Downrods,m-fan-downrods,,,,FAN,Downrods,TRUE
TRUE,FAN-LIGHTING-ACCESSORIES,FANS,Fan Lighting & Accessories,m-fan-lighting-accessories,,,,FAN,Fan Lighting & Accessories,TRUE
FALSE,FAN-S_DESIGN-YOUR-FAN,FAN_SALES_CATALOG,Design Your Fan,fan-s-design-your-fan,,,,FAN,"With our Blade Select Series design tool, choose from five fan models, 8 finishes and over 50 blade options to create the focal point for your favorite room â€“ one piece at a time. ",TRUE
TRUE,FAN-SHOWROOM-SUPPORT,FAN-LIGHTING-ACCESSORIES,Showroom Support,m-fan-showroom-support,,,,FAN,Showroom Support,TRUE
FALSE,FANS-S-ACCESSORIES-LIGHTING-BROWSE-ALL,FANS-S-LIGHTING-AND-ACCESSORIES,Browse All,fans-accessories-lighting-browse-all,,,EMR Item Type|EMR Location|EMR Control Type,FAN,"Browse our wide selection of light fixtures, fitters, cover plates and glass shades and create a customized fan for your home, created just the way you like it.",TRUE
FALSE,FANS-S-ACCESSORY-BUNDLES,FANS-S-LIGHTING-AND-ACCESSORIES,Accessory Bundles,fans-s-accessory-bundles,,,,FAN,Browse our accessories bundles that bring together all the upgrades you need in one convenient package.,TRUE
FALSE,FANS-S-ALL,FAN_SALES_CATALOG,Fans All,fan-s-all,,,,FAN,Fans All,TRUE
FALSE,FANS-S-BLADES,FANS-S-LIGHTING-AND-ACCESSORIES,Blades,fans-s-blades,,,EMR Material|EMR Blade Finish|EMR Location,FAN,"With our wide selection of blades, you can create a customized ceiling fan, designed to match your home dÃ©cor, for year-round air comfort.",TRUE
FALSE,FANS-S-BROWSE-ALL,FANS-S-ALL,Browse All,fans-s-browse-all,,,EMR Item Type| Collection|EMR Location|EMR Control Type|EMR Dimming Capability,FAN,"Browse our wide selection of ceiling fans, blades, light fixtures, controls and accessories to create customized fans for year-round air comfort.",TRUE
FALSE,FANS-S-CLASSIC,FANS-S-EMERSON-FANS,Classic,fans-s-classic,,,,FAN,"Comprised of timeless materials and aesthetics, this collection makes the design of your room an instant classic.",TRUE
FALSE,FANS-S-CONTROLS,FANS-S-LIGHTING-AND-ACCESSORIES,Controls,fans-s-controls,,,EMR Control Type,FAN,Our remote and wall controls make speed and light operation a breeze with just the click of a button.,TRUE
FALSE,FANS-S-DOWNRODS,FANS-S-LIGHTING-AND-ACCESSORIES,Downrods,fan-s-downrods,,,,FAN,Add an accessory downrod to your ceiling fan for increased flexibility and more hanging options.,TRUE
FALSE,FANS-S-EMERSON-FANS,FAN_SALES_CATALOG,Emerson Fans,fans-s-emerson-fans,,,,FAN,Browse our wide selection of ceiling fans to find the perfect air-movers for all your favorite rooms.,TRUE
FALSE,FANS-S-EMERSON-FANS-BROWSE-ALL,FANS-S-EMERSON-FANS,Browse All,emerson-fans-browse-all,,,Fan Housing Finish|EMR Blade Finish| EMR Location|EMR Control Type|EMR Speed Range|EMR Dimming Capability,FAN,"Browse our wide selection of ceiling fans, blades, light fixtures, controls and accessories to create customized fans for year-round air comfort.",TRUE
FALSE,FANS-S-FAN-LIGHTING,FANS-S-LIGHTING-AND-ACCESSORIES,Fan Lighting,fans-s-fan-lighting,,,EMR Location|EMR Bulb Type,FAN,"Our light fixtures, fitters, cover plates and glass shades offer one more way to customize your Emerson fan.",TRUE
FALSE,FANS-S-INDOOR-OUTDOOR,FANS-S-EMERSON-FANS,Indoor/Outdoor,fans-s-indoor-outdoor,,,Fan Housing Finish|EMR Blade Finish| EMR Location|EMR Control Type|EMR Speed Range|EMR Dimming Capability,FAN,Enhance any setting with our line of indoor/outdoor fans that feature weather-resistant motor housings and blades and a wide array of customizable styles to match your patio or sunroom.,TRUE
FALSE,FANS-S-LIGHTING-AND-ACCESSORIES,FAN_SALES_CATALOG,Fan Lighting & Accessories,fans-s-lighting-and-accessories,,,,FAN,"Make any of our fans the right fit for your home with our wide selection of blades, light fixtures and remote controls.",TRUE
FALSE,FANS-S-MODERN,FANS-S-EMERSON-FANS,Modern,modern,Modern,Shop  modern Emerson ceiling fans. Fans featuring a modern design with industry leading quality and innovation. ,EMR Fan Housing Finish|EMR Blade Finish|EMR Location|EMR Speed Range|EMR Dimming Capability,FAN,,TRUE
FALSE,FANS-S-PRO-SERIES,FANS-S-EMERSON-FANS,Pro Series,fans-s-pro-series,,,Fan Housing Finish|EMR Blade Finish| EMR Location|EMR Control Type|EMR Dimming Capability,FAN,"A line made with builders and new homeowners in mind, these fans are designed for ease of installation and to fit well within any style of home.",TRUE
FALSE,FANS-S-SHOWROOM-SUPPORT,FANS-S-LIGHTING-AND-ACCESSORIES,Showroom Support,fans-s-showroom-support,,,,FAN,Browse our marketing materials and bring the promise of Emerson quality and craftsmanship into your showroom.,TRUE
FALSE,FANS-S-TOMMY-BAHAMA-FANS,FANS-S-EMERSON-FANS,Tommy Bahama Fans,fans-s-tommy-bahama-fans,,,,FAN,"Tommy Bahama Fine Ceiling Fans capture the essence of island living, allowing you to experience the trade winds at the flick of a switch. Bring island breezes into your home 365 days a year.",TRUE
FALSE,FANS-S-TRADITIONAL,FANS-S-EMERSON-FANS,Traditional,fans-s-traditional,,,Fan Housing Finish|EMR Blade Finish| EMR Location|EMR Control Type|EMR Speed Range|EMR Dimming Capability,FAN,Conventional combinations of motor bodies and blades can enhance any design style. Choose any of our customizable traditional fan models for a tasteful addition to your roomâ€™s decor.,TRUE
FALSE,FANS-S-TRANSITIONAL,FANS-S-EMERSON-FANS,Transitional,fans-s-transitional,,,Fan Housing Finish|EMR Blade Finish| EMR Location|EMR Control Type|EMR Speed Range|EMR Dimming Capability,FAN,"Designed to combine the luster of our traditional fans with modern aesthetics, this line of fans will provide a classic look to your favorite rooms of the house.",TRUE
FALSE,Faucets,Water-Dispensers,Faucets,faucets, Instant Hot Water Dispenser Faucets | InSinkErator,InSinkErator offers exciting household hot water dispenser faucet styles & designer finishes will dress up any kitchen. View a variety of designs now.,EMR Handle Type|EMR Required Hole Diameter|EMR Water|EMR Tap Type,ISE,,TRUE
FALSE,Fieldbus-IO,Pneumatic-Valves-Valve-Systems,Fieldbus &amp; I/O,fieldbus-io,Products - Fieldbus &amp; I/O | Emerson,Browse Fieldbus &amp; I/O ,EMR Industry|EMR Product Series|EMR Communication Protocol|EMR IO module version|EMR Version|EMR Protection class|EMR Certifications,EMR,,TRUE
FALSE,Field-Communicators,Field-Device-Management,Field Communicators,field-communicators,Products - Field Communicators | Emerson,Browse Field Communicators products,EMR Area Classification|Manufacturer|EMR Industry,EMR,,TRUE
FALSE,Field-Communicator-Spare-Parts,Field-Communicators,Field Communicator Spare Parts,field-communicator-spare-parts,Products - Field Communicator Spare Parts | Emerson,Browse Field Communicator Spare Parts,EMR Part Type,EMR,,TRUE
FALSE,Field-Device-Management,Asset-Reliability,Field Device Management,field-device-management,Products - Field Device Management | Emerson,Browse Field Device Management products,Manufacturer|EMR Industry,EMR,,TRUE
FALSE,Filter-Driers-and-System-Protectors,Commercial-Refrigeration-Controls,Commercial Filter Driers and System Protectors,filter-driers-and-system-protectors,,,EMR Platform|Manufacturer|EMR Industry|EMR Application,CLIMATE,,TRUE
TRUE,Filters,Filter-Tools-And-Parts,Filters,m-filters,,,,PROTEAM,Filters,TRUE
FALSE,Filters-Regulators-Lubricators,Air-Preparation,"Filters, Regulators, Lubricators",filters-regulators-lubricators,"Products - Filters, Regulators, Lubricators | Emerson","Browse Filters, Regulators, Lubricators",Manufacturer|EMR Air Preparation Type|EMR Air Preparation Accessory Type|EMR Pipe Port Size|EMR Media|EMR Body Material|EMR Area Classification|EMR Protection class|EMR Voltage|EMR Frequency|EMR Certifications|EMR Application|EMR Industry,EMR,,TRUE
TRUE,Filter-Tools-And-Parts,ProTeam,"Filter, Tools and Parts",m-filter-tools-and-parts,,,,PROTEAM,"Filter, Tools and Parts",TRUE
FALSE,Fittings,Electrical-Components-Lighting,Fittings,fittings,Products - Fittings|Emerson,Browse Fittings products,Manufacturer|EMR Industry,EMR,,TRUE
FALSE,Fittings-Tubing,Accessories-SP,Fittings &amp; Tubing,fittings-tubing,Products - Fittings &amp; Tubing | Emerson,Browse Fittings &amp; Tubing ,EMR Industry|EMR Product Series|EMR External Diameter|EMR Wall thickness|EMR Length|EMR Pipe material|EMR Color|EMR Bending radius,EMR,,TRUE
FALSE,Flame-Arrestors,Flame-Detonation-Arrestors,Flame Arrestors,flame-arrestors,Products - Flame Arrestors|Emerson,Browse Flame Arrestors products,Manufacturer|EMR Industry|EMR Segment|EMR Application|EMR Certifications|EMR Valve Size|EMR Media|EMR Valve Type|EMR Max Inlet Pressure|EMR Max Outlet Pressure|EMR Operating Temperature|EMR Standards,EMR,,TRUE
FALSE,Flame-Detectors,Flame-Gas-Detection,Flame Detectors,flame-detectors,Products - Flame Detectors | Emerson,Browse Flame Detectors products,Manufacturer|EMR Industry|EMR Compatability|EMR Product Type|EMR Item Type|EMR Detected Flame|EMR Communication Protocol|,EMR,,TRUE
FALSE,Flame-Detonation-Arrestors,Valves-Actuators-Regulators,Flame and Detonation Arrestors,flame-detonation-arrestors,Products - Flame and Detonation Arrestors | Emerson,Browse Flame and Detonation Arrestors products,Manufacturer|EMR Industry,EMR,,TRUE
FALSE,Flame-Gas-Controllers,Flame-Gas-Detection,Controllers,flame-gas-controllers,Products - Controllers | Emerson,Browse Controllers products,Manufacturer|EMR Industry|EMR Compatability|EMR Product Type|EMR Item Type|EMR Detected Flame|EMR Detected Gas|EMR Communication Protocol|,EMR,,TRUE
FALSE,Flame-Gas-Detection,Measurement-Instrumentation,Flame and Gas Detection,flame-gas-detection,Products - Flame and Gas Detection | Emerson,Browse Flame and Gas Detection products,Manufacturer|EMR Industry|EMR Compatability|EMR Product Type|EMR Item Type|EMR Communication Protocol|EMR Technology Type|EMR Detected Flame|EMR Detected Gas|,EMR,,TRUE
FALSE,Flame-Gas-Detection-Spare-Parts,Flame-Gas-Detection,Flame Gas Detection Spare Parts,flame-gas-detection-spare-parts,Flame Gas Detection Spare Parts | Emerson US,,Manufacturer|EMR Industry|EMR Compatability|EMR Product Type|EMR Item Type|,EMR,,TRUE
FALSE,Flameproof-Camera-Housing,Enclosures-Junction-Boxes,Flameproof Camera Housing,flameproof-camera-housing,Products - Flameproof Camera Housing|Emerson,Browse Flameproof Camera Housing products,EMR Area Classification|EMR Certifications|EMR Industry,EMR,,TRUE
FALSE,Flammable-Vapor-Sensors,Sensing-Solutions,Flammable Vapor Sensors,flammable-vapor-sensors,,,EMR Platform|Manufacturer|EMR Industry|EMR Measurement Type|EMR Sensor Type|EMR Technology Type,CLIMATE,,TRUE
FALSE,Floating-Ball-Valves,Isolation-Shut-off-Valves,Floating Ball Valves,floating-ball-valves,Products - Floating Ball Valves|Emerson,Browse Floating Ball Valves products,Manufacturer|EMR Valve Type|EMR Industry|EMR Application|EMR Material|EMR Standards|EMR Pressure Class|EMR Certifications|EMR Valve Size|EMR Body Design|EMR Process Connection Type|EMR Operating Temperature|EMR Shutoff Class|EMR Power Source|EMR Stem|EMR Seat Seal Type|EMR Bore|EMR Media|EMR Max Outlet Pressure|EMR Valve Size|EMR Valve Size Standard,EMR,,TRUE
FALSE,Flood-Lighting,Lighting,Flood Lighting,flood-lighting,Products - Flood Lighting|Emerson,Browse Flood Lighting products,EMR Area Classification|EMR Certifications|EMR Wattage|EMR Lumens|EMR Industry,EMR,,TRUE
FALSE,Floor-Warming,Indoor-Outdoor-Heating-Cables,Floor Warming,floor-warming,,,EMR Platform|Manufacturer|EMR Industry|EMR Product Type|EMR Voltage|EMR Length,EMR,,TRUE
FALSE,Flow,Measurement-Instrumentation,Flow,flow,Products - Flow | Emerson,Browse Flow products,Manufacturer|EMR Industry|EMR Instrument Type|EMR Technology Type,EMR,,TRUE
FALSE,Flow-Accessories,Flow,Flow Accessories,flow-accessories,Products - Flow Accessories | Emerson,Browse Flow Accessories products,Manufacturer|EMR Industry|EMR Instrument Type|EMR Technology Type,EMR,,TRUE
FALSE,Flow-Computers,Flow,Flow Computers,flow-computers,Products - Flow Computers | Emerson,Browse Flow Computers products,Manufacturer|EMR Industry,EMR,,TRUE
FALSE,Flow-Configuration-Diagnostic-Software,Flow,Software,micro-motion-software,Products - Flow Configuration Diagnostic Software | Emerson,Browse Flow Configuration Diagnostic Software products,EMR Instrument Type|EMR Output Signal|EMR Output Variables|EMR Product Type|EMR Power Source|EMR Electronics Mounting Connection|EMR Electronics Mounting Connection,EMR,,TRUE
FALSE,Flow-Control-Valves,Accessories-SP,Flow Control & Valves,flow-control-valves,Products - Flow Control & Valves | Emerson,Browse Flow Control & Valves products,,EMR,,TRUE
FALSE,Flow-Metering-Certainty,Performance,Flow Metering Certainty,flow-metering-certainty,Performance Services - Flow Metering Certainty | Emerson,Browse Flow Metering Certainty Performance Lifecycle Services,Manufacturer,EMR,,TRUE
FALSE,Flow-Sensors,Sensors-Controls,Flow Sensors,flow-sensors,Products - Flow Sensors | Emerson,Browse Flow Sensors,EMR Industry|EMR Product Series|EMR Exit voltage analog|EMR Supply voltage DC max.,EMR,,TRUE
TRUE,Flyers,Literature,Flyers,m-flyers,,,,PROTEAM,,TRUE
FALSE,Food-and-Beverage,Hygienic-Measurement,Food and Beverage,food-and-beverage,Food and Beverage Products,,Manufacturer|EMR Industry|EMR Technology Type|EMR Communication Protocol|EMR Certifications|EMR Product Type|EMR Operating Temperature|EMR Measurement Type|EMR Instrument Type,EMR,,TRUE
FALSE,Food-and-Beverage-Flow,Food-and-Beverage,Food and Beverage Flow,food-and-beverage-flow,Food and Beverage Flow | Emerson US,,Manufacturer|EMR Industry|EMR Compatability|EMR Product Type|EMR Item Type|EMR Technology Type|EMR Communication Protocol|,EMR,,TRUE
FALSE,Food-and-Beverage-Level,Food-and-Beverage,Food and Beverage Level,food-and-beverage-level,Food and Beverage Level | Emerson US,,Manufacturer|EMR Industry|EMR Compatability|EMR Product Type|EMR Item Type|EMR Technology Type|EMR Communication Protocol|,EMR,,TRUE
FALSE,Food-and-Beverage-Liquid-Analysis,Food-and-Beverage,Food and Beverage Liquid Analysis,food-and-beverage-liquid-analysis,Food and Beverage Liquid Analysis | Emerson US,,Manufacturer|EMR Industry|EMR Compatability|EMR Product Type|EMR Item Type|EMR Technology Type|EMR Communication Protocol|,EMR,,TRUE
FALSE,Food-and-Beverage-Pressure,Food-and-Beverage,Food and Beverage Pressure,food-and-beverage-pressure,Food and Beverage Pressure | Emerson US,,Manufacturer|EMR Industry|EMR Compatability|EMR Product Type|EMR Item Type|EMR Technology Type|EMR Communication Protocol|,EMR,,TRUE
FALSE,Food-and-Beverage-Temperature,Food-and-Beverage,Food and Beverage Temperature,food-and-beverage-temperature,Food and Beverage Temperature | Emerson US,,Manufacturer|EMR Industry|EMR Compatability|EMR Product Type|EMR Item Type|EMR Technology Type|EMR Communication Protocol|,EMR,,TRUE
FALSE,Foodservice-Equipment,Insinkerator,Foodservice Equipment,foodservice-equipment,Browse Commercial Foodservice Equipment | InSinkErator,"InSinkErator offers equipment solutions that help foodservice operations manage waste disposal, improve efficiency & reduce costs. Explore our foodservice products now.",EMR Power Cord Attached|,ISE,,TRUE
FALSE,Food-Waste-Disposal-Accessories,Foodservice-Equipment,Food Waste Disposal Accessories,food-waste-disposal-accessories,Food Waste Disposal Accessories | InSinkErator,InSinkErator offers a variety of accessories to keep your disposer system running optimally,,ISE,,TRUE
FALSE,Food-Waste-Disposal-Electrical-Controls,Foodservice-Equipment,Food Waste Disposal Electrical Controls,food-waste-disposal-electrical-controls,Food Waste Disposal Electrical Controls | InSinkErator,Customize your disposal system by choosing a switch or control center,,ISE,,TRUE
FALSE,Food-Waste-Disposal-Mountings,Foodservice-Equipment,Food Waste Disposal Mountings,food-waste-disposal-mountings,Food Waste Disposal Mountings | InSinkErator,We offer a variety of sink and trough mountings,,ISE,,TRUE
FALSE,Food-Waste-Disposals,Climate-Technologies,Food Waste Disposals,food-waste-disposals,,,EMR Platform|Manufacturer|EMR Industry,CLIMATE,,TRUE
FALSE,Food-Waste-Disposal-Water-Controls,Foodservice-Equipment,Food Waste Disposal Water Controls,food-waste-disposal-water-controls,Food Waste Disposal Water Controls | InSinkErator,Our Water Contols help control efficient disposer operation,,ISE,,TRUE
FALSE,Food-Waste-Disposer-Accessories,Food-Waste-Disposers,Food Waste Disposer Accessories,food-waste-disposer-accessories,Food Waste Disposer Accessories | InSinkErator UK,"We have a range of accessories to compliment your InSinkErator product, including an air switch, universal plumbing kit and a batch feed kit. Order online now.",,ISE,,TRUE
FALSE,Food-Waste-Disposers,Insinkerator,Food Waste Disposers,food-waste-disposers,Food Waste Disposers | InSinkErator UK,InSinkErator is the world leading manufacturer of Food Waste Disposers. Find the perfect sink disposal unit for your kitchen. Order online now.,,ISE,,TRUE
TRUE,Forms,Literature,Forms,m-forms,,,,PROTEAM,,TRUE
FALSE,Free-Vents,Tank-Vents-Hatches,Free Vents,free-vents,Products - Free Vents|Emerson,Browse Free Vents products,Manufacturer|EMR Industry|EMR Segment|EMR Application|EMR Certifications|EMR Valve Size|EMR Media|EMR Valve Type|EMR Max Inlet Pressure|EMR Max Outlet Pressure|EMR Operating Temperature|EMR Standards,EMR,,TRUE
FALSE,FreezeAlarm-Products,Sensing-and-Protection-Devices,FreezeAlarm Products,freezealarm-products,,,EMR Platform|Manufacturer|EMR Industry,CLIMATE,,TRUE
FALSE,Fuel-Gas-Oil-Valves,Solenoid-Valves,"Fuel, Gas &amp; Oil Valves",fuel-gas-oil-valves,"Products - Fuel, Gas &amp; Oil Valves | Emerson","Browse Fuel, Gas &amp; Oil Valves products",Manufacturer|EMR Actuation|EMR Body Material|EMR Valve Function|EMR Media|EMR Pipe Port Size|EMR Flow Range Cv|EMR Max Operating Pressure Range|EMR Voltage|EMR Frequency|EMR Certifications|EMR Application|EMR Industry,EMR,,TRUE
FALSE,Full-Area-Corrosion-Monitoring-Fslog,Corrosion-Erosion-Monitoring,Full Area Corrosion Monitoring FSM Log,full-area-corrosion-monitoring-fsm-log,Full Area Corrosion Monitoring FSM Log |Emerson,Browse Full-Area-Corrosion-Monitoring-Fslog Products,Manufacturer|EMR Industry,EMR,,TRUE
FALSE,Furnace-Controls-Ignition-Modules,Heating-Controls,Furnace Controls and Ignition Modules,furnace-controls-ignition-modules,,,EMR Platform|Manufacturer|EMR Industry|EMR Blower Motor|EMR Control Type|EMR Ignitor|EMR Ignitor Voltage|EMR Stages|EMR Universal,CLIMATE,,TRUE
FALSE,Garbage-Disposals,Insinkerator,Garbage Disposals,garbage-disposals,Browse all InSinkErator Garbage Disposals | InSinkErator,Browse the full line of InSinkErator Garbage Disposals and Accessories. Find the best food waste disposer in the business here.,EMR Power Cord Attached|EMR Horsepower Range|EMR Stages,ISE,,TRUE
FALSE,Gas-Analysis,Measurement-Instrumentation,Gas Analysis,gas-analysis,Products - Gas Analysis | Emerson,Browse Gas Analysis products,Manufacturer|EMR Industry|EMR Compatability|EMR Product Type|EMR Item Type|EMR Communication Protocol|EMR Technology Type|EMR Detected Gas|,EMR,,TRUE
FALSE,Gas-Analysis-Accessories,Gas-Analysis,Gas Analysis Accessories,gas-analysis-accessories,Products - Gas Analysis Accessories | Emerson,Browse Gas Analysis Accessories products,Manufacturer|EMR Industry|EMR Compatability|EMR Product Type|EMR Item Type|,EMR,,TRUE
FALSE,Gas-Analysis-Spare-Parts,Gas-Analysis,Gas Analysis Spare Parts,gas-analysis-spare-parts,Gas Analysis Spare Parts | Emerson US,,Manufacturer|EMR Industry|EMR Compatability|EMR Product Type|EMR Item Type|,EMR,,TRUE
FALSE,Gas-Analysis-Systems,Gas-Analysis,Gas Analysis Systems,gas-analysis-systems,Products - Gas Analysis Systems | Emerson,Browse Gas Analysis Systems products,Manufacturer|EMR Industry|EMR Compatability|EMR Product Type|EMR Item Type|EMR Detected Gas|EMR Communication Protocol|,EMR,,TRUE
FALSE,Gas-Compression-Starters,Industrial-Gas-Compression,Gas Compression Starters,gas-compression-starters,,,EMR Platform|Manufacturer|EMR Industry,CLIMATE,,TRUE
FALSE,Gas-Detectors-Sensors,Flame-Gas-Detection,Gas Detectors and Sensors,gas-detectors-sensors,Products - Gas Detectors and Sensors | Emerson,Browse Gas Detectors and Sensors products,Manufacturer|EMR Industry|EMR Compatability|EMR Product Type|EMR Item Type|EMR Sensor Type|EMR Communication Protocol|EMR Detected Gas|,EMR,,TRUE
FALSE,Gas-Screw-Compressors,Industrial-Gas-Compression,Gas Screw Compressors,gas-screw-compressors,,,EMR Platform|Manufacturer|EMR Industry,CLIMATE,,TRUE
FALSE,Gas-Valves,Heating-Controls,Gas Valves,gas-valves,,,EMR Platform|Manufacturer|EMR Industry|EMR Opening Style|EMR Pipe Port Size|EMR Side Taps|EMR Stages|EMR Universal|EMR Voltage|EMR Voltage,CLIMATE,,TRUE
FALSE,Gate-Valves,Isolation-Shut-off-Valves,Gate Valves,gate-valves,Products - Gate Valves | Emerson,Browse Gate Valves products,Manufacturer|EMR Valve Type|EMR Industry|EMR Application|EMR Material|EMR Standards|EMR Pressure Class|EMR Certifications|EMR Valve Size|EMR Body Design|EMR Process Connection Type|EMR Operating Temperature|EMR Shutoff Class|EMR Power Source|EMR Stem|EMR Seat Seal Type|EMR Bore|EMR Media|EMR Max Outlet Pressure|EMR Valve Size|EMR Valve Size Standard,EMR,,TRUE
FALSE,Gauge-Valves,Instrumentation-Valves,Gauge Valves,gauge-valves,Products - Gauge Valves | Emerson,Browse Gauge Valves,Manufacturer|EMR Actuation|EMR Body Material|EMR Valve Function|EMR Media|EMR Pipe Port Size|EMR Flow Range Cv|EMR Max Operating Pressure Range|EMR Voltage|EMR Frequency|EMR Certifications|EMR Application|EMR Industry,EMR,,TRUE
FALSE,Gear Operators,Actuators,Gear Operators,gear-operators,Products - Gear Operators|Emerson,Browse Gear Operators products,Manufacturer|EMR Product Type|EMR Industry|EMR Application|EMR Actuation|EMR Power Source|EMR Control Type|EMR Valve Type|EMR Certifications|EMR Area Classification|EMR Operating Pressure|EMR Operating Temperature,EMR,,TRUE
FALSE,General-Lighting,Electrical-Construction-Materials-and-Lighting,General Lighting,general-lighting,,,EMR Platform|Manufacturer|EMR Industry|EMR Product Type|EMR Wattage,EMR,,TRUE
FALSE,General-Purpose-and-Hand-Tools,Construction-Plumbing-Tools,General Purpose & Hand Tools,general-purpose-and-hand-tools,,,EMR Platform|Manufacturer|EMR Industry,CLIMATE,,TRUE
FALSE,General-Service-Valves,Solenoid-Valves,General Service Valves,general-service-valves,Products - General Service Valves | Emerson,Browse General Service Valves ,Manufacturer|EMR Actuation|EMR Body Material|EMR Valve Function|EMR Media|EMR Pipe Port Size|EMR Flow Range Cv|EMR Max Operating Pressure Range|EMR Voltage|EMR Frequency|EMR Certifications|EMR Application|EMR Industry,EMR,,TRUE
FALSE,General-Service-Valves-MP,Microfluidic-Products,General Service Valves,general-service-valves-mp,Products - General Service Valves | Emerson,Browse General Service Valves ,Manufacturer|EMR Actuation|EMR Body Material|EMR Valve Function|EMR Media|EMR Pipe Port Size|EMR Flow Range Cv|EMR Max Operating Pressure Range|EMR Voltage|EMR Frequency|EMR Certifications|EMR Application|EMR Industry,EMR,,TRUE
FALSE,General-Utility-Lights,General-Lighting,General Utility Lights,general-utility-lights,,,EMR Platform|Manufacturer|EMR Industry,EMR,,TRUE
FALSE,Generators-and-Pressure-Washers,Construction-Plumbing-Tools,Generators & Pressure Washers,generators-and-pressure-washers,,,EMR Platform|Manufacturer|EMR Industry,CLIMATE,,TRUE
FALSE,Globe-Angle-Valves,Precision-Regulators-Valves,Globe &amp; Angle Valves,globe-angle-valves,Products - Globe &amp; Angle Valves | Emerson,Browse Globe &amp; Angle Valves,Manufacturer|EMR Actuation|EMR Body Material|EMR Valve Function|EMR Media|EMR Pipe Port Size|EMR Flow Range Cv|EMR Max Operating Pressure Range|EMR Voltage|EMR Frequency|EMR Certifications|EMR Application|EMR Industry,EMR,,TRUE
FALSE,Globe-Valves,Angle-Seat-Pinch-Diaphragm-Valves,Globe Valves,globe-valves,Products - Globe Valves | Emerson,Browse Globe Valves ,Manufacturer|EMR Actuation|EMR Body Material|EMR Valve Function|EMR Media|EMR Pipe Port Size|EMR Flow Range Cv|EMR Max Operating Pressure Range|EMR Voltage|EMR Frequency|EMR Certifications|EMR Application|EMR Industry,EMR,,TRUE
FALSE,Globe-Valves-bst,Bulk-Storage-Transport-Equipment,Globe Valves,globe-valves-bst,Products - Globe Valves|Emerson,Browse Globe Valves products,Manufacturer|EMR Industry|EMR Segment|EMR Application|EMR Certifications|EMR Valve Size|EMR Media|EMR Valve Type|EMR Max Inlet Pressure|EMR Max Outlet Pressure|EMR Operating Temperature|EMR Standards,EMR,,TRUE
